rule_name,link_number,link,rulebook_page,rule_description
Choose Unit & Declare Target,207,https://tow.whfb.app/the-shooting-phase/choose-unit-and-declare-target,"Rulebook, p. 137",The active player chooses one unit in their army that is able to shoot and completes the Shooting phase sequence for that unit. This process is repeated until all units have had a chance to shoot.
Who Can Shoot?,208,https://tow.whfb.app/the-shooting-phase/who-can-shoot,"Rulebook, p. 137",Not all units are able to shoot. Only units equipped with missile weapons (including war machines) or that can cast certain types of spell (such as magic missiles) can shoot. A unit cannot shoot if:It charged or marched during the preceding Movement phase.It is engaged in combat.It is fleeing.
Check Line of Sight,209,https://tow.whfb.app/the-shooting-phase/check-line-of-sight,"Rulebook, p. 137","In order to shoot at something, a model must be able to draw a line of sight to it. Often, not every model in a unit will be able to draw a line of sight to the target. Therefore, when shooting with a unit you must determine line of sight for each and every model in the front rank. Normally, only models in the front rank of a unit can shoot. However, sometimes the rules will allow models in the rear ranks to shoot. In such cases, models in the rear ranks are able to see what the model at the front of their file can see."
Check Range,210,https://tow.whfb.app/the-shooting-phase/check-range,"Rulebook, p. 137","All missile weapons have a maximum range. A model cannot shoot at a target if it lies beyond this maximum range. Often, not every model in a unit will be within range of the target. Therefore, you must check the range for each model in a unit individually.The one exception to this is when a unit chooses to Stand & Shoot as a charge reaction. In such cases the charging enemy is assumed to have entered the weapons' range before any shots are fired."
Declare Target,211,https://tow.whfb.app/the-shooting-phase/declare-target,"Rulebook, p. 137","With line of sight and range checked, the active player must declare which enemy unit will be the target of the shooting unit."
How Many Shots?,212,https://tow.whfb.app/the-shooting-phase/how-many-shots,"Rulebook, p. 137","A unit can shoot only once per Shooting phase, and most models can make only one shooting attack (the number of Attacks a model has does not affect the number of shots it can make)."
"""We Can't All Shoot!""",213,https://tow.whfb.app/the-shooting-phase/we-cant-all-shoot,"Rulebook, p. 137","Units cannot split their shooting between two or more targets. Therefore, any models within a unit that do not have a line of sight to the target, or that are not within range of the target, cannot shoot."
Roll to Hit (Shooting),214,https://tow.whfb.app/the-shooting-phase/roll-to-hit-shooting,"Rulebook, p. 138","To determine whether a model hits its target, you must make a roll 'To Hit'. To make a roll To Hit, roll a D6 for each model that is shooting and look up the target number needed on the table below. Any dice that equal or beat the target number shown (after applying any modifiers) have hit the target:Ballistic Skill12345D6 roll To Hit6+5+4+3+2+Rolls of a Natural 1Regardless of a warrior's skill, shots can go awry. When making a roll To Hit, a roll of a natural 1 is always a fail, regardless of modifiers."
Fast Dice Rolling (Shooting),215,https://tow.whfb.app/the-shooting-phase/fast-dice-rolling-shooting,"Rulebook, p. 138","To speed the process up, rather than rolling one dice at a time for each model, count how many models in your unit are shooting and roll a batch of that many dice. If there are a lot of models, you might prefer to roll several smaller batches.However, if your unit contains models that have different characteristics (such as Ballistic Skill or Strength), or models that are equipped with weapons that have different profiles, the target numbers required To Hit or To Wound may vary. In such cases, you must roll different batches of dice, making it clear to your opponent what each batch represents and the target number you need."
BS of 6 or Higher,216,https://tow.whfb.app/the-shooting-phase/bs-of-6-or-higher,"Rulebook, p. 138","If a model has BS6 or higher, it gains a re-roll should it fail to hit whilst shooting. The second roll usually has a lower chance of hitting. On the table below, the first target number given is for the first roll, the second is the target number when re-rolling:Ballistic Skill678910D6 roll To Hit2+/6+2+/5+2+/4+2+/3+2+/2+"
To Hit Modifiers,217,https://tow.whfb.app/the-shooting-phase/to-hit-modifiers,"Rulebook, p. 138","Many battlefield conditions can reduce the accuracy of shooting. These are represented by a series of modifiers that are applied to rolls To Hit.To Hit modifiers for shooting are cumulative (except when noted otherwise). The most commonly encountered To Hit modifiers are as follows, though others may also apply:Moving and  Shooting-1Firing at Long Range-1Standing and Shooting-1Target Behind Partial Cover-1Target Behind Full Cover-2In the case of models with a BS of 6 or higher, these modifiers are only applied to the first dice roll.Note that it is quite possible for modifiers to be applied to some models in a shooting unit, but not to others. Where this happens, simply resolve two (or more) sets of shots separately."
Range & Movement Modifiers,218,https://tow.whfb.app/the-shooting-phase/range-and-movement-modifiers,"Rulebook, p. 139","This section explains To Hit modifiers for shooting in greater detail. Shooting whilst on the move, over a great distance, or at rapidly approaching enemies, can be particularly challenging."
